,taxi_zone,zip_code
928,Sutton Place/Turtle Bay North,10065
929,Times Sq/Theatre District,10036
930,Times Sq/Theatre District,10018
931,Times Sq/Theatre District,10020
932,Times Sq/Theatre District,10019
933,Times Sq/Theatre District,10097
934,TriBeCa/Civic Center,10013
935,TriBeCa/Civic Center,10007
936,TriBeCa/Civic Center,10038
937,TriBeCa/Civic Center,10048
938,TriBeCa/Civic Center,10279
939,TriBeCa/Civic Center,10278
940,Two Bridges/Seward Park,10002
941,Two Bridges/Seward Park,10009
942,UN/Turtle Bay South,10017
943,UN/Turtle Bay South,10016
944,UN/Turtle Bay South,10158
945,UN/Turtle Bay South,10022
946,Union Sq,10001
947,Union Sq,10011
948,Union Sq,10016
949,Union Sq,10010
950,Union Sq,10003
951,University Heights/Morris Heights,10468
952,University Heights/Morris Heights,10453
953,University Heights/Morris Heights,10452
954,Upper East Side North,10029
955,Upper East Side North,10128
956,Upper East Side North,10028
957,Upper East Side North,10021
958,Upper East Side North,10075
959,Upper East Side South,00083
960,Upper East Side South,10021
961,Upper East Side South,10019
962,Upper East Side South,10022
963,Upper East Side South,10065
964,Upper East Side South,10075
965,Upper West Side North,10024
966,Upper West Side North,10025
967,Upper West Side North,00083
968,Upper West Side South,10024
969,Upper West Side South,00083
970,Upper West Side South,10023
971,Van Cortlandt Park,10471
972,Van Cortlandt Park,10470
973,Van Cortlandt Park,10466
974,Van Cortlandt Park,10467
975,Van Cortlandt Park,10463
976,Van Cortlandt Village,10471
977,Van Cortlandt Village,10467
978,Van Cortlandt Village,10463
979,Van Cortlandt Village,10468
980,Van Cortlandt Village,10458
981,Van Nest/Morris Park,10469
982,Van Nest/Morris Park,10462
983,Van Nest/Morris Park,10461
984,Van Nest/Morris Park,10460
985,Washington Heights North,10034
986,Washington Heights North,10033
987,Washington Heights North,10040
988,Washington Heights North,10032
989,Washington Heights South,10033
990,Washington Heights South,10032
991,Washington Heights South,10031
992,West Brighton,10301
993,West Brighton,10310
994,West Brighton,10304
995,West Chelsea/Hudson Yards,10036
996,West Chelsea/Hudson Yards,10018
997,West Chelsea/Hudson Yards,10001
998,West Chelsea/Hudson Yards,10011
999,West Chelsea/Hudson Yards,10014
1000,West Chelsea/Hudson Yards,10019
1001,West Concourse,10457
1002,West Concourse,10452
1003,West Concourse,10456
1004,West Concourse,10451
1005,West Farms/Bronx River,10462
1006,West Farms/Bronx River,10460
1007,West Farms/Bronx River,10472
1008,West Village,10011
1009,West Village,10014
1010,West Village,10012
1011,Westchester Village/Unionport,10462
1012,Westchester Village/Unionport,10461
1013,Westchester Village/Unionport,10472
1014,Westchester Village/Unionport,10473
1015,Westerleigh,10301
1016,Westerleigh,10310
