,date,zip_code,hospitalization_rate
823,7/2020,11229,16.8
824,7/2020,11230,14.6
825,7/2020,11231,8.0
826,7/2020,11232,25.8
827,7/2020,11233,14.8
828,7/2020,11234,6.4
829,7/2020,11235,11.5
830,7/2020,11236,10.3
831,7/2020,11237,16.7
832,7/2020,11238,9.3
833,7/2020,11239,30.7
834,7/2020,11354,13.0
835,7/2020,11355,21.6
836,7/2020,11356,13.1
837,7/2020,11357,5.2
838,7/2020,11358,2.8
839,7/2020,11360,5.3
840,7/2020,11361,11.4
841,7/2020,11362,0.0
842,7/2020,11363,14.8
843,7/2020,11364,0.0
844,7/2020,11365,9.1
845,7/2020,11366,14.1
846,7/2020,11367,22.1
847,7/2020,11368,29.0
848,7/2020,11369,32.7
849,7/2020,11370,9.4
850,7/2020,11372,26.4
851,7/2020,11373,24.0
852,7/2020,11374,7.2
853,7/2020,11375,8.4
854,7/2020,11377,10.7
855,7/2020,11378,8.3
856,7/2020,11379,5.5
857,7/2020,11385,10.6
858,7/2020,11411,9.4
859,7/2020,11412,7.9
860,7/2020,11413,9.3
861,7/2020,11414,21.2
862,7/2020,11415,26.5
863,7/2020,11416,11.4
864,7/2020,11417,16.1
865,7/2020,11418,13.3
866,7/2020,11419,12.4
867,7/2020,11420,10.5
868,7/2020,11421,15.0
869,7/2020,11422,18.5
870,7/2020,11423,16.1
871,7/2020,11426,0.0
872,7/2020,11427,0.0
873,7/2020,11428,0.0
874,7/2020,11429,3.6
875,7/2020,11432,13.2
876,7/2020,11433,27.4
877,7/2020,11434,9.0
878,7/2020,11435,10.3
879,7/2020,11436,34.9
880,7/2020,11691,12.0
881,7/2020,11692,9.5
882,7/2020,11693,0.0
883,7/2020,11694,14.4
884,7/2020,11697,29.5
885,8/2020,10001,3.6
886,8/2020,10002,11.9
887,8/2020,10003,5.6
888,8/2020,10004,0.0
889,8/2020,10005,0.0
890,8/2020,10006,29.6
891,8/2020,10007,0.0
892,8/2020,10009,3.5
893,8/2020,10010,3.0
894,8/2020,10011,0.0
895,8/2020,10012,13.0
896,8/2020,10013,3.5
897,8/2020,10014,3.3
898,8/2020,10016,2.0
899,8/2020,10017,0.0
900,8/2020,10018,0.0
901,8/2020,10019,2.3
902,8/2020,10021,2.2
903,8/2020,10022,6.5
904,8/2020,10023,3.2
905,8/2020,10024,3.4
906,8/2020,10025,8.7
907,8/2020,10026,10.3
908,8/2020,10027,6.3
909,8/2020,10028,2.1
910,8/2020,10029,11.5
911,8/2020,10030,20.5
912,8/2020,10031,6.8
913,8/2020,10032,17.4
914,8/2020,10033,13.7
915,8/2020,10034,7.1
916,8/2020,10035,17.0
917,8/2020,10036,11.0
918,8/2020,10037,14.4
919,8/2020,10038,8.7
920,8/2020,10039,22.1
921,8/2020,10040,6.8
922,8/2020,10044,17.1
923,8/2020,10065,0.0
924,8/2020,10069,0.0
925,8/2020,10075,0.0
926,8/2020,10128,0.0
927,8/2020,10280,0.0
928,8/2020,10282,0.0
929,8/2020,10301,5.1
930,8/2020,10302,16.2
931,8/2020,10303,18.9
932,8/2020,10304,9.5
933,8/2020,10305,4.7
934,8/2020,10306,11.4
935,8/2020,10307,0.0
936,8/2020,10308,10.1
937,8/2020,10309,9.1
938,8/2020,10310,21.3
939,8/2020,10312,3.3
940,8/2020,10314,7.6
941,8/2020,10451,33.8
942,8/2020,10452,18.6
943,8/2020,10453,19.1
944,8/2020,10454,15.9
945,8/2020,10455,16.7
946,8/2020,10456,12.9
947,8/2020,10457,21.7
948,8/2020,10458,20.5
949,8/2020,10459,16.7
950,8/2020,10460,28.9
951,8/2020,10461,16.3
952,8/2020,10462,15.9
953,8/2020,10463,5.7
954,8/2020,10464,0.0
955,8/2020,10465,7.0
956,8/2020,10466,16.8
957,8/2020,10467,21.6
958,8/2020,10468,15.4
959,8/2020,10469,13.8
960,8/2020,10470,40.0
961,8/2020,10471,4.7
962,8/2020,10472,17.7
963,8/2020,10473,16.9
964,8/2020,10474,16.7
965,8/2020,10475,7.0
966,8/2020,11004,10.6
967,8/2020,11101,8.1
968,8/2020,11102,6.7
969,8/2020,11103,17.2
970,8/2020,11104,3.9
971,8/2020,11105,0.0
972,8/2020,11106,2.7
973,8/2020,11109,34.7
974,8/2020,11201,0.0
975,8/2020,11203,6.8
976,8/2020,11204,15.6
977,8/2020,11205,24.3
978,8/2020,11206,15.0
979,8/2020,11207,13.5
980,8/2020,11208,11.5
981,8/2020,11209,16.3
982,8/2020,11210,6.1
983,8/2020,11211,8.9
984,8/2020,11212,9.5
985,8/2020,11213,12.4
986,8/2020,11214,15.1
987,8/2020,11215,5.7
988,8/2020,11216,5.5
989,8/2020,11217,2.4
990,8/2020,11218,10.8
991,8/2020,11219,21.1
992,8/2020,11220,16.9
