PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent
90,467904.66,741.31,Manhattan,Flatiron,Yellow Zone,#6c83b5,-75.89235995947485,-75.54061990642674,#567994,-75.8918115613917
91,19096.6,12837.1,Brooklyn,Flatlands,Boro Zone,#5a9178,-6.123692994400834,-69.91507290680894,#90b2b3,-49.32111171487772
92,13398.31,7123.12,Queens,Flushing,Boro Zone,#90b2b3,-14.901323895927712,-91.0472403140137,#5a9178,-78.46826661898959
93,4043.25,695.54,Queens,Flushing Meadows-Corona Park,Boro Zone,#e8e8e8,-97.65926669006676,-87.61498438384753,#2a5a5b,-97.34298751709485
94,4651.89,4458.78,Bronx,Fordham South,Boro Zone,#b8d6be,52.48398749155943,-53.24251229817207,#e8e8e8,-27.616748141492092
95,16212.84,45082.01,Queens,Forest Hills,Boro Zone,#5a9178,-49.08950231066793,-78.05877911699672,#5a9178,-74.17130105325896
96,880.09,312.36,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8,28.27430403731235,-56.72845150029091,#e8e8e8,-15.306542799511341
97,32921.24,39961.32,Brooklyn,Fort Greene,Boro Zone,#2a5a5b,-66.10210747986693,-79.77807320247506,#5a9178,-75.27163685462061
98,3605.35,1974.37,Queens,Fresh Meadows,Boro Zone,#b8d6be,-20.156482531358524,-63.15690277409748,#b5c0da,-43.492958545245365
99,2265.36,0.0,Staten Island,Freshkills Park,Boro Zone,#e8e8e8,1308.455608057697,-100.0,#73ae80,784.4225814007966
100,384810.49,494.38,Manhattan,Garment District,Yellow Zone,#6c83b5,-83.80004115805617,-83.6130345287065,#2a5a5b,-83.79980394688968
101,3121.87,1433.1,Queens,Glen Oaks,Boro Zone,#b8d6be,-65.35055444751146,-83.66355425703996,#5a9178,-74.38478080426133
102,5193.88,3410.27,Queens,Glendale,Boro Zone,#b8d6be,9.89896425133039,-62.36739972699213,#e8e8e8,-37.59709487774205
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0
105,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-100.0,-0.0,#6c83b5,-100.0
106,6697.43,5365.6,Brooklyn,Gowanus,Boro Zone,#b8d6be,-53.31304808510045,-68.2112550973314,#90b2b3,-61.3665689544019
107,553435.63,1847.71,Manhattan,Gramercy,Yellow Zone,#567994,-78.49719850599419,-62.26182719821572,#6c83b5,-78.46637246730543
108,6423.1,7496.11,Brooklyn,Gravesend,Boro Zone,#73ae80,29.71871491004855,-56.19573487355035,#e8e8e8,-36.9152431756276
109,187.0,0.0,Staten Island,Great Kills,Boro Zone,#e8e8e8,45.0062034739454,-0.0,#e8e8e8,45.0062034739454
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0
111,99.79,72.3,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8,-23.01342385434347,-54.87736378955253,#b5c0da,-40.627910988442316
112,12153.99,4228.89,Brooklyn,Greenpoint,Boro Zone,#90b2b3,-65.6764587022844,-87.63339263844586,#5a9178,-76.46344552223935
113,352866.74,719.8100000000002,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5,-80.14955851303445,-60.15730946569027,#6c83b5,-80.12926070412003
114,229823.64,50.51,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5,-85.25648753830795,-94.92387317220242,#2a5a5b,-85.26265466784918
115,3405.44,566.58,Staten Island,Grymes Hill/Clifton,Boro Zone,#e8e8e8,328.10952153470953,-80.86072357531332,#73ae80,5.758088908769457
116,50129.25,24100.86,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b,-59.10055946507006,-76.05473870243769,#90b2b3,-66.7452987092509
117,13831.12,10461.94,Queens,Hammels/Arverne,Boro Zone,#5a9178,25.27757196763157,-64.53435393982129,#b8d6be,-40.07510758727729
118,714.18,469.7000000000001,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8,-74.2101595028221,7.007791497699014,#6c83b5,-63.09796550681541
119,11740.72,10518.48,Bronx,Highbridge,Boro Zone,#5a9178,26.52128746373782,-47.75534045393858,#e8e8e8,-24.321280967852047
120,903.37,504.77,Manhattan,Highbridge Park,Boro Zone,#e8e8e8,-38.11389777561604,-47.360572310516005,#b5c0da,-41.77991854960412
121,10780.54,6908.71,Queens,Hillcrest/Pomonok,Boro Zone,#90b2b3,1.979803712900564,-67.97900031331748,#b8d6be,-44.97354480895616
122,5152.11,5071.53,Queens,Hollis,Boro Zone,#b8d6be,-25.628256040049035,-67.30905092061396,#90b2b3,-54.44227926743244
123,8475.01,6824.91,Brooklyn,Homecrest,Boro Zone,#90b2b3,4.61515862601884,-64.46908300912571,#e8e8e8,-43.97583258573024
124,6405.54,1879.24,Queens,Howard Beach,Boro Zone,#b8d6be,-42.19108455003095,-73.23591825108595,#90b2b3,-54.23289308829282
125,96157.89,146.67000000000004,Manhattan,Hudson Sq,Yellow Zone,#6c83b5,-85.34511279268048,-84.67430147750308,#2a5a5b,-85.34413581200401
126,5468.15,3485.43,Bronx,Hunts Point,Boro Zone,#b8d6be,-7.5793658171345415,-72.60401134690674,#90b2b3,-51.9631954503997
127,7488.63,9634.23,Manhattan,Inwood,Boro Zone,#5a9178,-54.43677752500806,-61.884530370784155,#b5c0da,-58.9499167148541
128,1477.95,1582.73,Manhattan,Inwood Hill Park,Boro Zone,#b8d6be,-19.65305035173366,-56.04797502943594,#b5c0da,-43.74267071041264
129,20374.62,19485.97,Queens,Jackson Heights,Boro Zone,#5a9178,-64.78878667413474,-87.00471748288342,#5a9178,-80.81877960930753
130,20592.93,32833.44,Queens,Jamaica,Boro Zone,#2a5a5b,-74.18537553242139,-78.85908996082613,#2a5a5b,-77.27310548062927
131,7542.1,6269.83,Queens,Jamaica Estates,Boro Zone,#90b2b3,-14.403162342430479,-67.50876691131621,#90b2b3,-50.8615285657058
132,1127064.89,562.59,Queens,JFK Airport,Airports,#6c83b5,-90.58470325497349,-86.70747900708349,#2a5a5b,-90.58333288718825
133,6084.190000000001,4854.94,Brooklyn,Kensington,Boro Zone,#b8d6be,-40.267101002782326,-57.67979553553372,#b5c0da,-49.49052479547575
134,8086.42,11224.82,Queens,Kew Gardens,Boro Zone,#5a9178,-73.39588233339484,-80.90754647917605,#2a5a5b,-78.34754257024741
135,10056.45,3965.16,Queens,Kew Gardens Hills,Boro Zone,#90b2b3,-39.98137930417085,-72.37236232898904,#90b2b3,-54.92559719940723
136,14484.59,14828.91,Bronx,Kingsbridge Heights,Boro Zone,#5a9178,23.550701149817463,-46.91107506351986,#e8e8e8,-26.080188502012696
137,477428.37,3627.09,Manhattan,Kips Bay,Yellow Zone,#567994,-62.403793113737024,-69.56649057566321,#90b2b3,-62.470391206682706
138,531029.87,98.46,Queens,LaGuardia Airport,Airports,#6c83b5,-92.00814158716524,-94.89736161568001,#2a5a5b,-92.00898036778456
139,10047.85,4266.04,Queens,Laurelton,Boro Zone,#90b2b3,-12.033040631046278,-63.95875487367518,#b5c0da,-38.45830726798615
140,732919.22,5476.53,Manhattan,Lenox Hill East,Yellow Zone,#567994,-64.8961717632929,-69.75649598080862,#90b2b3,-64.93796312847572
141,747581.1,1198.28,Manhattan,Lenox Hill West,Yellow Zone,#567994,-70.07129265579154,-78.28266535209022,#2a5a5b,-70.0893910036301
142,739080.55,769.45,Manhattan,Lincoln Square East,Yellow Zone,#6c83b5,-79.35348359910125,-82.50995599359908,#2a5a5b,-79.35735807620075
