PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
82,14594.32,17281.71,Queens,Elmhurst,Boro Zone,#5a9178,-79.48042781680982,-93.91524736015468,#2a5a5b,-91.02438994996176,10.36960959566414,0.0,2.9417768507637684e-40,-91.02438994996176
83,4073.28,4252.05,Queens,Elmhurst/Maspeth,Boro Zone,#b8d6be,-69.78884051414033,-88.33648782093483,#5a9178,-83.32890123291156,9.027057953702656,0.0,6.467225607840737e-37,-83.32890123291156
84,356.22,0.0,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,122.79066858465195,-0.0,#e8e8e8,122.79066858465197,5.875548517510638,4.81048102410142,1.0,4.818591982487628
85,12311.76,5702.22,Brooklyn,Erasmus,Boro Zone,#5a9178,-8.939986642495944,-67.24806479831227,#b8d6be,-41.76041889610427,9.798903402095489,0.0,7.306014191257645e-19,-41.76041889610427
86,16224.0,7265.2,Queens,Far Rockaway,Boro Zone,#5a9178,18.54008070720732,-63.393502714550245,#b8d6be,-29.952530711299758,10.064296020027452,0.0,9.812534417485126e-14,-29.952530711299758
87,73676.22,439.53,Manhattan,Financial District North,Yellow Zone,#6c83b5,-93.66825622100392,213.2117152426424,#6c83b5,-93.63125102626992,11.213383339305787,0.0,2.1700230432082222e-41,-93.63125102626992
88,43965.55,310.85,Manhattan,Financial District South,Yellow Zone,#6c83b5,-93.25169715813051,171.6507908765184,#6c83b5,-93.20517801394959,10.698207082704474,0.0,3.3228099611828623e-41,-93.20517801394959
89,25952.27,15019.02,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#2a5a5b,-25.96669905399708,-70.16488650792768,#b8d6be,-52.02140782580326,10.620626856498733,0.0,2.55499256343836e-23,-52.02140782580326
90,228376.15,874.2,Manhattan,Flatiron,Yellow Zone,#6c83b5,-86.95239595852938,1086.4820846905536,#6c83b5,-86.9030024128432,12.342569916835105,0.0,1.8134500227862216e-38,-86.9030024128432
91,22839.88,11179.13,Brooklyn,Flatlands,Boro Zone,#2a5a5b,11.685307877034035,-68.11418065321388,#b8d6be,-38.71562809572098,10.434674764997323,0.0,1.5346747743110118e-17,-38.71562809572098
92,10030.27,7288.52,Queens,Flushing,Boro Zone,#5a9178,-42.8274947317781,-90.97347719256528,#5a9178,-82.37981138773054,9.759547318244133,0.0,1.6707154703752256e-36,-82.37981138773054
93,3305.03,495.35,Queens,Flushing Meadows-Corona Park,Boro Zone,#e8e8e8,-97.47649766404447,-98.72495765088472,#2a5a5b,-97.7621082130366,8.24285634071481,0.0,3.4870314459560925e-43,-97.7621082130366
94,5656.77,4251.24,Bronx,Fordham South,Boro Zone,#b8d6be,73.7427936962311,-54.460839711419496,#b8d6be,-21.309916941859303,9.201098799894169,0.0,5.561867802359851e-10,-21.309916941859303
95,14815.82,30600.66,Queens,Forest Hills,Boro Zone,#5a9178,-57.79347437480683,-84.58309351996053,#5a9178,-80.55725047083398,10.723630313757193,0.0,1.0337859922887307e-35,-80.55725047083398
96,775.23,165.17,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8,-79.41732467435921,-93.88657763828024,#2a5a5b,-85.46113435309469,6.846305316665914,0.0,7.668332457147479e-38,-85.46113435309469
97,26144.04,32400.3,Brooklyn,Fort Greene,Boro Zone,#2a5a5b,-69.92138891547813,-84.13966637118095,#5a9178,-79.89577415019669,10.977539694839828,0.0,2.003116273340876e-35,-79.89577415019669
98,1652.86,1059.56,Queens,Fresh Meadows,Boro Zone,#e8e8e8,-70.34483995981054,-77.25099353531103,#5a9178,-73.48876623586067,7.905596504326228,0.0,1.2140437622248983e-32,-73.48876623586067
99,123.95,0.0,Staten Island,Freshkills Park,Boro Zone,#e8e8e8,-71.00923868553386,-0.0,#b5c0da,-71.00923868553386,4.819878258481199,0.0,1.4490369991557892e-31,-71.00923868553386
100,273997.07,206.5,Manhattan,Garment District,Yellow Zone,#6c83b5,-89.00567276436232,487.984054669704,#6c83b5,-88.99754185333553,12.52162606571925,0.0,2.232845483028553e-39,-88.99754185333553
101,8991.22,1536.75,Queens,Glen Oaks,Boro Zone,#90b2b3,18.01468223706576,-77.67484226751256,#73ae80,-27.404424977693072,9.261790804016966,0.0,1.254323192454377e-12,-27.404424977693072
102,3895.94,2526.03,Queens,Glendale,Boro Zone,#b8d6be,-31.81012257214218,-67.88031681889214,#90b2b3,-52.70242601894268,8.76748020319663,0.0,1.2930853668468634e-23,-52.70242601894268
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0,0.0,0.0,0.5,-0.0
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0,0.0,0.0,0.5,-0.0
105,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-100.0,-0.0,#6c83b5,-100.0,0.0,0.0,3.7200759760208356e-44,-100.0
106,7130.61,5102.9,Brooklyn,Gowanus,Boro Zone,#90b2b3,-49.87603639827218,-67.19149726847628,#90b2b3,-58.91974825668898,9.411934186687171,0.0,2.5791610229754166e-26,-58.91974825668898
107,301929.35,1494.69,Manhattan,Gramercy,Yellow Zone,#567994,-86.94027876061598,506.6358212589797,#6c83b5,-86.87702566621866,12.62288657809051,0.0,1.8611747372974357e-38,-86.87702566621866
108,6031.14,3535.72,Brooklyn,Gravesend,Boro Zone,#b8d6be,40.2965909487421,-76.91258409519352,#73ae80,-51.22268823158116,9.166060321934637,0.0,5.678964485840524e-23,-51.22268823158116
109,110.1,0.0,Staten Island,Great Kills,Boro Zone,#e8e8e8,-76.97616060225847,-100.0,#2a5a5b,-84.91512187101813,4.701389043728634,0.0,1.3238267159553162e-37,-84.91512187101813
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8,-0.0,-0.0,#e8e8e8,-0.0,0.0,0.0,0.5,-0.0
111,82.45,64.05,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8,-82.37155502341194,-13.98066075745368,#6c83b5,-72.97895494033237,4.987025428457122,0.0,2.0213549128092896e-32,-72.97895494033237
112,11344.66,2360.67,Brooklyn,Greenpoint,Boro Zone,#90b2b3,-64.65929385626478,-94.1716557700156,#5a9178,-81.1232010313467,9.525540087250352,0.0,5.870045097029031e-36,-81.1232010313467
113,133679.22,680.13,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5,-91.29209056713788,188.67996604414262,#6c83b5,-91.24912967138987,11.808273205965195,0.0,2.3496680159592197e-40,-91.24912967138987
114,78905.11,182.8,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5,-93.76857125862,-0.0,#6c83b5,-93.75413486566745,11.278315297573204,0.0,1.919095434363581e-41,-93.75413486566745
