PULocationID,yellow_total_amount,yellow_log_total_amount,green_total_amount,green_log_total_amount,Borough,Zone,service_zone,bivcolor
175,1590.42,7.3717534112759555,1461.38,7.287136473756422,Queens,Oakland Gardens,Boro Zone,#e8e8e8
176,0.0,0.0,50.3,3.9180050771056933,Staten Island,Oakwood,Boro Zone,#e8e8e8
177,9894.43,9.199727251526507,11352.64,9.33720559498151,Brooklyn,Ocean Hill,Boro Zone,#5a9178
178,928.14,6.833182583476629,1697.14,7.436699760358222,Brooklyn,Ocean Parkway South,Boro Zone,#b8d6be
179,27819.64,10.23349752506301,17374.420000000002,9.762754288580862,Queens,Old Astoria,Boro Zone,#2a5a5b
180,3106.57,8.04127450264759,1653.07,7.410389444171834,Queens,Ozone Park,Boro Zone,#e8e8e8
181,41246.79,10.627328570553017,51370.46,10.846818578064008,Brooklyn,Park Slope,Boro Zone,#2a5a5b
182,5981.41,8.696411605104716,10768.62,9.284391628235875,Bronx,Parkchester,Boro Zone,#5a9178
183,3920.5,8.273974475670977,4182.63,8.33869551426677,Bronx,Pelham Bay,Boro Zone,#b8d6be
184,275.95,5.62021968988551,341.09000000000003,5.832146372078991,Bronx,Pelham Bay Park,Boro Zone,#e8e8e8
185,4168.65,8.33534752137022,8988.42,9.103692361185418,Bronx,Pelham Parkway,Boro Zone,#90b2b3
186,1705676.07,14.349472112099818,708.03,6.56248646567737,Manhattan,Penn Station/Madison Sq West,Yellow Zone,#6c83b5
187,212.89999999999998,5.360822571899433,154.42000000000002,5.03967616288067,Staten Island,Port Richmond,Boro Zone,#e8e8e8
188,18133.3,9.80550530593894,22591.1,10.025311302388968,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,#5a9178
189,9784.41,9.188545581640279,6348.150000000001,8.755918710856731,Brooklyn,Prospect Heights,Boro Zone,#90b2b3
190,1716.16,7.447844515794561,1394.6200000000001,7.2403772557137644,Brooklyn,Prospect Park,Boro Zone,#e8e8e8
191,8646.65,9.06492724167541,9539.45,9.163191110788778,Queens,Queens Village,Boro Zone,#5a9178
192,1821.83,7.507596769405338,3007.48,8.00885779778516,Queens,Queensboro Hill,Boro Zone,#b8d6be
193,1028414.21,13.843528571859117,9545.47,9.163821975387599,Queens,Queensbridge/Ravenswood,Boro Zone,#2a5a5b
194,10594.460000000001,9.268086501966046,438.15000000000003,6.08256131750186,Manhattan,Randalls Island,Yellow Zone,#b5c0da
195,6520.17,8.78265572820042,4466.0,8.404248432400102,Brooklyn,Red Hook,Boro Zone,#90b2b3
196,15651.01,9.658290730627108,28968.59,10.273967418539916,Queens,Rego Park,Boro Zone,#5a9178
197,12045.62,9.396456387364765,28972.3,10.274095480086954,Queens,Richmond Hill,Boro Zone,#5a9178
198,3567.21,8.179539056628467,3730.94,8.224415491612353,Queens,Ridgewood,Boro Zone,#b8d6be
199,596.77,6.391531779529553,0.0,0.0,Bronx,Rikers Island,Boro Zone,#e8e8e8
200,3850.19,8.255877776713477,6078.42,8.712500072767511,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,#b8d6be
201,1391.76,7.238324412236294,2381.3,7.775401836029897,Queens,Rockaway Park,Boro Zone,#b8d6be
202,3919.95,8.27383417760112,718.7,6.577444024474397,Manhattan,Roosevelt Island,Boro Zone,#e8e8e8
203,8880.22,9.091581610454101,6383.69,8.76150157905338,Queens,Rosedale,Boro Zone,#90b2b3
204,0.0,0.0,387.05,5.958553883650723,Staten Island,Rossville/Woodrow,Boro Zone,#e8e8e8
205,12689.86,9.448558528338673,13925.31,9.541463326666179,Queens,Saint Albans,Boro Zone,#5a9178
206,580.1600000000001,6.363303927566486,484.19,6.182477391667807,Staten Island,Saint George/New Brighton,Boro Zone,#e8e8e8
207,2172.06,7.683431304981674,512.5,6.239300711012564,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,#e8e8e8
208,5752.45,8.657381129998647,7660.64,8.943850810158292,Bronx,Schuylerville/Edgewater Park,Boro Zone,#90b2b3
209,134058.35,11.80603043191438,2834.81,7.949730194515599,Manhattan,Seaport,Yellow Zone,#567994
210,7306.32,8.896495006012806,17980.84,9.79706202551053,Brooklyn,Sheepshead Bay,Boro Zone,#5a9178
211,371201.86,12.82450129065749,0.0,0.0,Manhattan,SoHo,Yellow Zone,#6c83b5
212,2702.87,7.902069450410278,8155.04,9.006391420009363,Bronx,Soundview/Bruckner,Boro Zone,#b8d6be
213,12226.45,9.411356916716485,22778.37,10.03356668044633,Bronx,Soundview/Castle Hill,Boro Zone,#5a9178
214,1170.47,7.0651606565298914,30.240000000000002,3.4091655513113324,Staten Island,South Beach/Dongan Hills,Boro Zone,#e8e8e8
215,27560.54,10.224140318549576,10837.31,9.290750089216544,Queens,South Jamaica,Boro Zone,#2a5a5b
216,20928.8,9.948881479826014,9345.05,9.142602070330138,Queens,South Ozone Park,Boro Zone,#5a9178
217,3841.72,8.253675461963715,3370.85,8.122920217062186,Brooklyn,South Williamsburg,Boro Zone,#b8d6be
218,10735.19,9.281282409271299,8888.57,9.092521460676275,Queens,Springfield Gardens North,Boro Zone,#90b2b3
219,17454.83,9.767371680162004,5098.55,8.536711464562117,Queens,Springfield Gardens South,Boro Zone,#90b2b3
220,4696.03,8.4544727499032,8216.73,9.013927598683772,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,#90b2b3
221,219.79,5.392672545029182,84.16,4.4327197489894,Staten Island,Stapleton,Boro Zone,#e8e8e8
222,5282.48,8.572150963396911,9760.54,9.18610300574546,Brooklyn,Starrett City,Boro Zone,#5a9178
223,51062.06,10.840797034674168,34444.8,10.447113321652477,Queens,Steinway,Boro Zone,#2a5a5b
224,113395.12,11.63863363584012,279.85,5.634253745337369,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,#6c83b5
225,14333.9,9.570382640109829,20529.72,9.929628871342281,Brooklyn,Stuyvesant Heights,Boro Zone,#5a9178
226,110717.92,11.614740984547867,27127.82,10.20831504857261,Queens,Sunnyside,Boro Zone,#2a5a5b
227,3857.48,8.257769399518756,7815.01,8.963801522445289,Brooklyn,Sunset Park East,Boro Zone,#b8d6be
228,9010.36,9.106130305409064,10354.8,9.245205459302262,Brooklyn,Sunset Park West,Boro Zone,#5a9178
229,917503.66,13.729411848003723,728.3,6.59071305122387,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,#6c83b5
230,1774236.23,14.388880595331328,608.13,6.410388674900303,Manhattan,Times Sq/Theatre District,Yellow Zone,#6c83b5
231,966351.39,13.781282804814815,3539.13,8.171636213211352,Manhattan,TriBeCa/Civic Center,Yellow Zone,#567994
232,97080.84,11.483299312460705,2700.15,7.901062606004824,Manhattan,Two Bridges/Seward Park,Yellow Zone,#567994
233,666461.0,13.409736902260196,823.13,6.7131141468906375,Manhattan,UN/Turtle Bay South,Yellow Zone,#6c83b5
234,1416857.61,14.163952026679418,608.78,6.411456954496684,Manhattan,Union Sq,Yellow Zone,#6c83b5
235,7910.03,8.975886853422017,14438.7,9.57766738069325,Bronx,University Heights/Morris Heights,Boro Zone,#5a9178
236,1898040.23,14.456332453923164,7974.55,8.984010499728731,Manhattan,Upper East Side North,Yellow Zone,#567994
237,1924704.1,14.470282799603055,1134.6,7.034035444892467,Manhattan,Upper East Side South,Yellow Zone,#6c83b5
238,1080581.97,13.893010315078001,1343.13,7.202757990051549,Manhattan,Upper West Side North,Yellow Zone,#6c83b5
239,1289762.53,14.069968674120764,785.47,6.6662822647320885,Manhattan,Upper West Side South,Yellow Zone,#6c83b5
240,650.9399999999999,6.478417472062414,1252.13,7.132601380135496,Bronx,Van Cortlandt Park,Boro Zone,#e8e8e8
241,5031.76,8.523525102489268,9266.210000000001,9.134129729220751,Bronx,Van Cortlandt Village,Boro Zone,#5a9178
242,7556.07,8.93010649273942,18575.04,9.829574023015674,Bronx,Van Nest/Morris Park,Boro Zone,#5a9178
